"timestamp"	"author"	"message"
"2026-06-27T14:08:33.517000+00:00"	"bigptoughneigh"	"test"
"2026-06-27T16:19:40.076000+00:00"	"bigptoughneigh"	"Any recommendations on the inclusion criteria? Just have applications share the hash of the paper? Should there be a criteria to kick too?"
"2026-06-27T16:26:48.830000+00:00"	"arabel1la"	"It depends on what you want to achieve. I see the most important here is that no one popups and says ""hi here is the key"", ruining the (probably, long and hard) work of others. And only as secondary target, we would like to remove reseller watchers.  I don't think the paper is a good gatekeeper. Despite Petri words, it CAN be found on zenodo   I would suggest meaningful contribution as a criteria. E.g. pearson should share what he already did for reproducing it, where he failed to continue, and his thoughts, and then judge whether it is neuroslope or not."
"2026-06-27T16:27:29.105000+00:00"	"bigptoughneigh"	"All good points, thank you"
"2026-06-27T16:35:07.929000+00:00"	"meatsus"	"not sure where the other guys got invited from, hopefully nobody posted this on the github thread lol"
"2026-06-27T16:35:37.774000+00:00"	"meatsus"	"if it was posted there then the people who are verified are verified and you can make fake verified role for the rest with the same color lol"
"2026-06-27T16:35:47.097000+00:00"	"meatsus"	"just replace the english e with cyrillic ""е"""
"2026-06-27T16:36:02.178000+00:00"	"meatsus"	"""Vеrified Role"""
"2026-06-27T16:36:31.054000+00:00"	"bigptoughneigh"	"I posted on GitHub, assume this is not private"
"2026-06-27T16:36:58.120000+00:00"	"meatsus"	"if you don't want to be bothered with the discord stuff you can give me mod access for a while so I can fix up the roles"
"2026-06-27T16:37:09.195000+00:00"	"meatsus"	"and maybe we can set up a bot to log the deleted / edited messages"
"2026-06-27T16:39:44.930000+00:00"	"bigptoughneigh"	"Not sure how to add mod from mobile"
"2026-06-27T16:40:11.476000+00:00"	"bigptoughneigh"	"Why do we want to log messages?"
"2026-06-27T16:41:34.458000+00:00"	"meatsus"	"you make an additional role with the permissions"
"2026-06-27T16:41:42.776000+00:00"	"meatsus"	"and the log is useful for when people are malicious"
"2026-06-27T16:41:55.195000+00:00"	"meatsus"	"and they try to modify already said messages"
"2026-06-27T16:47:18.660000+00:00"	"bigptoughneigh"	"Should be mod now"
"2026-06-27T16:47:27.779000+00:00"	"arabel1la"	"that's sounds like an overkill imho we are not playing spy games nor we need that many people"
"2026-06-27T16:48:00.679000+00:00"	"bigptoughneigh"	"Made you a mod too <@1171545720453607504>"
"2026-06-27T16:48:45.019000+00:00"	"arabel1la"	"I am complete noob at discord, I use it only occasionally"
"2026-06-27T16:48:58.801000+00:00"	"arabel1la"	"so I don't think I can help with the moderation"
"2026-06-27T16:58:16.978000+00:00"	"serplay228"	"Same"
"2026-06-27T17:00:54.731000+00:00"	"serplay228"	"But what if the person wants to be a tester? Like, i dont know much about that low-level stuff described in the paper, but i have those cards on my hands. And most of devs have them too, so ig there will be no separate tester role in this community"
"2026-06-27T17:07:09.684000+00:00"	"serplay228"	"Should we kick scalpers off?"
"2026-06-27T17:12:35.049000+00:00"	"meatsus"	"what im saying is - treat the people in this chat, that already got verified as trusted and the rest as lurkers"
"2026-06-27T17:13:32.612000+00:00"	"bigptoughneigh"	"Swiftcord let me view hidden channels where I didn’t have permission so assume that this channel is visible to others"
"2026-06-27T17:15:11.096000+00:00"	"meatsus"	"lmao didnt know that was a thing"
"2026-06-27T17:16:11.446000+00:00"	"meatsus"	"in order to avoid making a new discord and only inviting the people in this channel I will just make a DM"
"2026-06-27T17:16:31.208000+00:00"	"meatsus"	"and we might just treat everyone as swiftcord user"
"2026-06-27T17:16:42.398000+00:00"	"meatsus"	"and everyone who posts anything semi-illegal even should get deleted"
"2026-06-27T17:16:59.716000+00:00"	"serplay228"	"What is swiftcord?"
"2026-06-27T17:17:38.668000+00:00"	"meatsus"	"discord is basically a website, the application is just a web viewer and swiftcord is a web viewer that bypasses some limitation and allows mods"
"2026-06-27T18:04:35.956000+00:00"	"bigptoughneigh"	"I don't remember everyone from the old discord, but I think I got the ones that were active at least from the old server?"
"2026-06-27T19:52:36.020000+00:00"	"meatsus"	"I think so, a few key players are missing but they intentionally decided to leave"
"2026-06-27T21:37:03.400000+00:00"	"meatsus"	"<@150790491548418048> you can rename this channel to #cat-pictures or something swiftcord can show hidden channels but not their contents so we can just say that only you have access to it, all good and no DM chat needed"
"2026-06-27T21:37:32.451000+00:00"	"meatsus"	"or you know I can do all of these things I just need a green light"
"2026-06-27T21:38:41.292000+00:00"	"meatsus"	"wait no I can't add or modify channels so you got this part"
"2026-06-27T21:38:45.220000+00:00"	"bigptoughneigh"	"Not anymore… but yeah, I don’t care either way. Clean room dev won’t happen here. Will give auth tokens for clean room repo commit privileges just in this channel, merge will still be gated I think"
"2026-06-27T21:40:03.171000+00:00"	"bigptoughneigh"	"Away from my desk, would like some eyes on the proposed scope"
"2026-06-27T21:40:23.277000+00:00"	"bigptoughneigh"	"Will try to share tonight"
"2026-06-28T21:32:47.610000+00:00"	"meatsus"	"I think some newcommers are here to confirm the rumors about the unlock so I will push back on their hype a little"
"2026-06-28T22:57:48.921000+00:00"	"bigptoughneigh"	"With the paper that ship has sailed, but you do you."
"2026-06-29T18:03:37.466000+00:00"	"petrikrohn_26497"	"You can still get 8GB cards for $200 from Chine if you order 100 pieces."
"2026-06-29T18:15:31.731000+00:00"	"adih1266"	"and spend $20,000 on cards that might be impossible to unlock"
"2026-06-29T18:16:16.845000+00:00"	"serplay228"	"What are our chances? 1/10000000? Im taking the gamble!"
"2026-06-29T18:24:29.089000+00:00"	"petrikrohn_26497"	"A100 80GB cards are $20,000 **each** on eBay. https://gpupoet.com/gpu/shop/nvidia-a100-pcie"
"2026-06-29T19:09:46.946000+00:00"	"meatsus"	"<@1188655397209395354> can you please recommend a concrete 580 driver version?"
"2026-06-29T19:19:23.501000+00:00"	"meatsus"	"Im looking for the driver packages in here https://download.nvidia.com/XFree86/Linux-x86_64/"
"2026-06-29T19:21:51.240000+00:00"	"adih1266"	"Four days ago, Nvidia updated the 580 branch of its open-source modules and made some changes to DMA"
"2026-06-29T19:23:12.409000+00:00"	"meatsus"	"😔"
"2026-06-29T19:24:18.085000+00:00"	"meatsus"	"<@1241326283686809614> are the older 580 versions alright to use?"
"2026-06-29T19:25:42.918000+00:00"	"adih1266"	"I don't know if it was related to Paper; they sometimes update old branches."
"2026-06-29T19:29:09.239000+00:00"	"adih1266"	"If this was indeed a fix for that vulnerability, it would be very useful to see the changes"
"2026-06-29T19:29:20.521000+00:00"	"meatsus"	"<@1241326283686809614> referring to this repo? https://github.com/NVIDIA/open-gpu-kernel-modules/tree/580"
"2026-06-29T19:29:42.879000+00:00"	"meatsus"	"https://github.com/NVIDIA/open-gpu-kernel-modules/commits/580/"
"2026-06-29T19:30:26.132000+00:00"	"adih1266"	"yes"
"2026-06-29T19:33:37.241000+00:00"	"meatsus"	"what about the driver .run files on their site, I guess its a good idea to keep archive of these"
"2026-06-29T19:39:17.548000+00:00"	"meatsus"	"```diff -version 580.167.08. +version 580.173.02. ```  I can't find 580.167.08 .rpm package this will be the end of wakanda"
"2026-06-29T19:40:19.531000+00:00"	"bigptoughneigh"	"Seems to be there just fine to me, but maybe there's a stealth update mechanism I'm not aware of?"
"2026-06-29T19:40:34.547000+00:00"	"meatsus"	"thats the source"
"2026-06-29T19:40:44.285000+00:00"	"bigptoughneigh"	"build from source??"
"2026-06-29T19:40:48.028000+00:00"	"meatsus"	"there are binary blobs that were exploitable"
"2026-06-29T19:40:53.573000+00:00"	"meatsus"	"and they are not build from source AFAIK"
"2026-06-29T19:40:59.350000+00:00"	"meatsus"	"they just get shipped by nvidia"
"2026-06-29T19:41:07.014000+00:00"	"bigptoughneigh"	"oh, I didn't know that."
"2026-06-29T19:42:23.049000+00:00"	"meatsus"	"https://developer.nvidia.com/datacenter-driver-580-downloads?target_os=Linux&target_arch=x86_64&Distribution=Ubuntu&target_version=24.04&target_type=deb_local"
"2026-06-29T19:42:33.359000+00:00"	"meatsus"	"there is POTENTIALLY the same software/binaries in this link"
"2026-06-29T19:42:40.290000+00:00"	"meatsus"	"maybe they just did not delete those"
"2026-06-29T19:42:47.732000+00:00"	"arabel1la"	"wget https://developer.download.nvidia.com/compute/nvidia-driver/580.167.08/local_installers/nvidia-driver-local-repo-azl3-580.167.08-1.0-1.x86_64.rpm"
"2026-06-29T19:51:53.906000+00:00"	"arabel1la"	"I was looking around the paper and stuff, and there is a thing I that confuses me a lot (but maybe I am just underqualified). Are you guys aware of any intermediate success measure of the exploit? Like any experiment that can confirm that we are moving in the right direction?  Because for now, is sounds like we need to correctly guess quite many details (especially in the part with falcon RE), and we get the result only if all guesses are correct. No chance this will work this way."
"2026-06-29T19:52:27.984000+00:00"	"bigptoughneigh"	"I think your understanding is generally correct, unfortunately"
