"timestamp"	"author"	"message"
"2026-06-27T13:50:37.445000+00:00"	"bigptoughneigh"	"Hey, welcome. If anyone has a recommendation about establishing that the contents in the exploit that's been released so far is actually ""generally known"", that seems like the first step to establishing that the clean/dirty room can be done. If anyone has guidelines or a project managment recommendation, I'm open to all ideas. Should the actual clean/dirty team work be done publically or privately?"
"2026-06-27T13:56:07.789000+00:00"	"ozaty"	"I think the discussion should move somewhere off discord to protect researchers privacy"
"2026-06-27T13:56:30.108000+00:00"	"bigptoughneigh"	"Agreed for sure, discord is the wrong place for actual clean/dirty room"
"2026-06-27T13:56:34.390000+00:00"	"serplay228"	"Or somewhere just secure"
"2026-06-27T13:57:17.233000+00:00"	"bigptoughneigh"	"Thinking maybe matrix or zulip based on what AI has been suggesting"
"2026-06-27T13:57:25.091000+00:00"	"serplay228"	"Not necessarily not discord"
"2026-06-27T13:57:59.250000+00:00"	"bigptoughneigh"	"Like you mean a discord where the invite link is only for a select few rather than a public link?"
"2026-06-27T13:58:07.074000+00:00"	"serplay228"	"I already use vpn to access discord, for me even discord is enough of security"
"2026-06-27T13:58:37.177000+00:00"	"serplay228"	"Or just make this channel only accessible to users with role ""verified"" for example"
"2026-06-27T13:59:00.499000+00:00"	"bigptoughneigh"	"Yeah, I could do that."
"2026-06-27T14:00:34.355000+00:00"	"bigptoughneigh"	"What's the verification criteria?"
"2026-06-27T14:00:42.358000+00:00"	"bigptoughneigh"	"Got a new channel and a role built"
"2026-06-27T14:01:11.090000+00:00"	"petrikrohn_26497"	"I just posted this on another server:  Humvee was a bit annoyed that I posted about the memory unlock on Github. He thinks we should have waited longer. He is also afraid of Nvidia's legal department and does not want to be identified or connected to anyone. Others were surprised, but did not realize, that Jon had already spilled the beans by publishing on Zenodo. I will not discuss any exploits on Github and have told others not to do so either. I think it is against policy. Publication should be in bits and pieces. That way you can avoid being faced by Nvidia alone. I hope someone else will recreate and publish a working fix.  I am already too involved. I will not publicly post a link to Zenodo. Others should do it. But make damed sure that YOU GOT ALL YOUR 170HX BEFORE!!!"
"2026-06-27T14:02:25.068000+00:00"	"bigptoughneigh"	"Should there be seperate clean/dirty rooms for each bit and piece? Or am I overthinking things?"
"2026-06-27T14:02:40.636000+00:00"	"meatsus"	"youre not overthinking, in fact you should also add ""verified"" role"
"2026-06-27T14:03:44.694000+00:00"	"petrikrohn_26497"	"I would like to give a presentation on the exploit and process at a Chaos Computer Club meeting in Germany in early September. Deadline for submissions in August 1. I am trying to figure out what I can say publicly and what not. https://en.wikipedia.org/wiki/Chaos_Computer_Club"
"2026-06-27T14:03:48.246000+00:00"	"bigptoughneigh"	"go to the verified channel with anything that should be private. List anyone else that should be in the verified role inside the verified channel"
"2026-06-27T14:04:01.927000+00:00"	"serplay228"	"I really don't know, that depends, there are lots of people, who could tell you the criteria"
"2026-06-27T14:05:03.260000+00:00"	"arabel1la"	"Sorry guys I have never been a hacker, can you please explain the idea of clean/dirt room implementation? I asked AI but it seem to be quite missleading. For what I understand, due to some legal stuff publishing exploit if (provably) some of contributors have seen a leak is a crime, otherwise it is not. So the idea is to gather some new developers, who will not look into leaks and reproduce what guys did?"
"2026-06-27T14:05:09.322000+00:00"	"petrikrohn_26497"	"For the clean room:  ## A cryptography question: Suppose you had a numbered set of AES-128-ECB keys in the form of - `0123456789...0123456789XX`  where `0123456789`... would be a common hex string shared by all keys and `XX` the number of the key in hex form. For the Rijndael encryption, you need to split the 16-byte key into four 4-byte words to be used as round keys rk[0], rk[1], rk[2], and rk[3]. The algorithm first uses rk[0] and then the others in sequence. This way rk[0] produces most entropy.  Would it therefore be safer to reverse the order of the 4-byte words and use the last 8 hex characters of the humanly readable key as rk[0] instead of rk[3]? Should Nvidia also be doing the same if they use similar keys for their numbered keys?  Using a common part for the numbered keys would save a lot of fuses. 30 fuses vs 256 x 32 fuses."
"2026-06-27T14:05:24.675000+00:00"	"ozaty"	"Is there precedent for how gpu exploits were handled in the past?"
